DoctorID,DoctorName,DepartmentID,Experience
1,Dr. Christopher Carlson,19,26
2,Dr. Jessica Walker,8,12
3,Dr. Miguel Bright,4,5
4,Dr. Laura Bell,19,19
5,Dr. Andrew Jones,19,21
6,Dr. Joseph Bell,11,21
7,Dr. Bryan Lane,17,3
8,Dr. Donald Young,11,26
9,Dr. Veronica Davis,10,9
10,Dr. Craig Perez,10,32
11,Dr. Laura Rogers,8,19
12,Dr. Susan Gonzalez,1,15
13,Dr. Miss Emma Goodman DVM,15,10
14,Dr. Patrick Kelley,3,1
15,Dr. Robert Lewis,10,9
16,Dr. Cassandra Harmon,18,2
17,Dr. Jared Mills,4,18
18,Dr. Michele Marsh,1,5
19,Dr. Jason Ross,12,10
20,Dr. Renee Trevino,11,32
21,Dr. Vernon Brown,3,31
22,Dr. Zachary Jones DDS,12,18
23,Dr. Donna Peterson,19,32
24,Dr. Mallory Valentine,5,28
25,Dr. Robert Perez,9,33
26,Dr. Mary Wood,10,15
27,Dr. Dale Sutton,2,13
28,Dr. Jessica Schneider,8,3
29,Dr. Timothy Allen,16,20
30,Dr. James Barnes,14,15
31,Dr. Stephen Acosta,17,19
32,Dr. Jennifer Mcdonald,18,13
33,Dr. Steven Reynolds,9,20
34,Dr. Benjamin Moore,10,33
35,Dr. Virginia Pruitt,11,24
36,Dr. Amy Brown,17,17
37,Dr. Lauren Long,8,3
38,Dr. Juan Jensen,7,9
39,Dr. Elizabeth Jackson,17,24
40,Dr. Dale Deleon,3,35
41,Dr. Douglas Lewis,5,6
42,Dr. Erica Winters,1,3
43,Dr. Jennifer Hall,10,15
44,Dr. Ms. Gloria Williams,8,23
45,Dr. Kristy Hudson,10,10
46,Dr. Alicia Andrews,1,28
47,Dr. Shane Little,6,31
48,Dr. Deanna Carpenter,15,21
49,Dr. Alyssa Carlson,12,1
50,Dr. Sydney Lutz MD,9,12
51,Dr. Carrie Sullivan,12,4
52,Dr. Charles Mccoy,7,24
53,Dr. Matthew Edwards,7,3
54,Dr. Tammy Nelson,13,4
55,Dr. Preston Young,1,30
56,Dr. Melanie Fry,14,26
57,Dr. Derrick Koch,7,23
58,Dr. Michael Combs,4,35
59,Dr. Courtney Hammond,4,21
60,Dr. Sarah Estes,10,16
61,Dr. Joyce Khan,7,20
62,Dr. Edward Montoya,11,31
63,Dr. Sara Clarke,20,11
64,Dr. Deborah Gill,10,25
65,Dr. Vanessa Thomas,11,17
66,Dr. Samuel Moore,7,9
67,Dr. Sandra Brown,2,21
68,Dr. Erin Rodriguez,2,32
69,Dr. Andrew Herring,2,19
70,Dr. Francisco Dean,3,32
71,Dr. Vincent Dunn,2,16
72,Dr. Jonathan Webb,18,16
73,Dr. Travis Martin,5,31
74,Dr. Mark White,14,25
75,Dr. Drew Lawrence,18,24
76,Dr. Laura Anderson,16,8
77,Dr. Joseph Jacobs,18,10
78,Dr. Jeanne Martin,2,28
79,Dr. Drew Marshall,16,24
80,Dr. Savannah Torres,11,12
81,Dr. Stephen Taylor,16,35
82,Dr. Jill Cross DDS,19,35
83,Dr. Colton Williams,13,3
84,Dr. Douglas Blake,12,12
85,Dr. Paul Smith,1,11
86,Dr. Natalie Peterson,18,24
87,Dr. Jacob Boyer,4,7
88,Dr. Karen Mckenzie,17,8
89,Dr. Whitney Moore,12,26
90,Dr. Matthew White,5,8
91,Dr. Amy Ramos,18,9
92,Dr. Tracy Foster,15,15
93,Dr. Timothy Howard,11,19
94,Dr. Carlos Morgan,12,35
95,Dr. Diane Smith,8,18
96,Dr. Tommy Hall,6,12
97,Dr. Lisa Green,3,26
98,Dr. Timothy Copeland,14,15
99,Dr. Corey Stanley,12,14
100,Dr. Jacqueline Cunningham,16,29
101,Dr. Melanie Chapman,1,10
102,Dr. Connie Becker,7,1
103,Dr. Michael Nunez,15,28
104,Dr. Ms. Caitlin Wiley,16,16
105,Dr. Jasmine Pittman,9,21
106,Dr. Brenda Allen,1,33
107,Dr. Shelly Harris,7,32
108,Dr. Patricia Duke,17,12
109,Dr. Benjamin Barnett,20,13
110,Dr. Brenda Malone,17,16
111,Dr. Andrew Ramirez,16,25
112,Dr. Brandon Turner,5,2
113,Dr. Tyler Young,6,28
114,Dr. Bruce Griffin,12,16
115,Dr. Tyler White,7,25
116,Dr. Sarah Cooper,19,21
117,Dr. Patrick Salas,11,25
118,Dr. Casey Hernandez,8,10
119,Dr. Richard Smith,20,14
120,Dr. Jessica Ibarra,16,23
121,Dr. Jeremy Munoz,11,26
122,Dr. Jacqueline Figueroa,4,31
123,Dr. Amanda Scott,18,4
124,Dr. Erika Chandler,11,33
125,Dr. Julie Reyes,5,4
126,Dr. Jennifer Wilson,5,13
127,Dr. Molly King,9,20
128,Dr. James Wong,4,6
129,Dr. Chad Bartlett,2,11
130,Dr. Veronica Hall,15,22
131,Dr. Eric Marks,6,2
132,Dr. Daniel Hogan,7,3
133,Dr. Heather Brown,5,19
134,Dr. Michael Porter,2,8
135,Dr. Frank Hale,6,10
136,Dr. Tiffany Hartman,16,6
137,Dr. Tony Johnson,14,7
138,Dr. Seth Pena,13,33
139,Dr. Joseph Roberts,9,10
140,Dr. Amanda Taylor,15,4
141,Dr. Sabrina Watson,3,12
142,Dr. David Ferrell,1,20
143,Dr. Mary Peters,19,3
144,Dr. Anna Olson,16,2
145,Dr. Joshua Huynh,13,12
146,Dr. Carmen Aguirre,9,32
147,Dr. Caitlin Patterson,5,24
148,Dr. Robert Hall,6,22
149,Dr. Lauren Macias,19,28
150,Dr. Sandra Miller,7,2
151,Dr. Michele Johns,17,2
152,Dr. Edwin Alexander,1,10
153,Dr. Teresa Mason,3,20
154,Dr. John Jones,15,17
155,Dr. Tyler Beck,16,25
156,Dr. Cathy Melton,8,16
157,Dr. Donna Ramirez,16,16
158,Dr. John Conner,3,34
159,Dr. Rebekah Walker,17,6
160,Dr. Ronnie Jones,1,30
161,Dr. Sierra Olsen,6,27
162,Dr. Tommy Turner,14,35
163,Dr. Mary Mcdonald,16,21
164,Dr. Maria Riley,20,15
165,Dr. Joseph Stewart,18,20
166,Dr. Richard Warren,1,6
167,Dr. Casey Banks,20,8
168,Dr. Patricia Goodwin,16,6
169,Dr. Chelsea Rangel,9,24
170,Dr. Travis Stevens,14,20
171,Dr. Jason Alexander,2,8
172,Dr. Daniel Michael,8,19
173,Dr. Johnathan Ramirez,5,33
174,Dr. Brian Gray,17,15
175,Dr. Lindsay Arnold,7,34
176,Dr. Patricia Rice,13,4
177,Dr. Theresa Cook,2,26
178,Dr. Holly Mccormick,5,9
179,Dr. Tanya Romero,11,20
180,Dr. Jeffrey Baker,15,19
181,Dr. Dr. Jason Ochoa,18,13
182,Dr. Ryan Diaz,2,1
183,Dr. Richard Freeman,2,22
184,Dr. Daniel Gonzalez,11,1
185,Dr. Crystal Dickson,15,33
186,Dr. Ebony Sherman,5,34
187,Dr. Nicholas Harper,9,11
188,Dr. Jennifer Schwartz,3,19
189,Dr. Megan Rose,11,17
190,Dr. Ashley Cooper,4,18
191,Dr. Autumn Torres,12,5
192,Dr. Melanie Brown,14,20
193,Dr. Ashley Johnson,1,12
194,Dr. Jacob Clark,10,21
195,Dr. Richard Brown,6,26
196,Dr. Lori Thomas,9,21
197,Dr. William Davidson,11,21
198,Dr. Margaret Allen,20,21
199,Dr. Joshua Smith,1,33
200,Dr. Justin Richardson,17,23
201,Dr. Brittany Rich,14,3
202,Dr. Andrew Valenzuela,1,11
203,Dr. Ricky Williamson,3,33
204,Dr. Doris Poole,1,24
205,Dr. Danny Martinez,12,7
206,Dr. Brandi Ruiz,5,12
207,Dr. Stephanie Humphrey,6,35
208,Dr. Jennifer Fisher,10,7
209,Dr. Scott Jones,20,2
210,Dr. Barbara Evans,10,28
211,Dr. Melissa Lyons,15,1
212,Dr. Carlos Perez,15,8
213,Dr. Natalie Villa,11,31
214,Dr. Terry Young,13,10
215,Dr. Jill Simon,3,26
216,Dr. Sandra Sanders,12,19
217,Dr. William Ruiz,17,29
218,Dr. Joseph Scott,14,21
219,Dr. Nicole Mathis,11,11
220,Dr. Ian Hess,7,13
221,Dr. Lisa Wilkins,19,29
222,Dr. Ian Wood,19,14
223,Dr. Robert Butler,6,18
224,Dr. Bonnie Johns,8,34
225,Dr. Tristan Combs,16,20
226,Dr. Mark Cook,5,13
227,Dr. Adam Davis,17,26
228,Dr. Diane Jordan,19,29
229,Dr. Sean Johnson,6,3
230,Dr. Dawn Martin,16,5
231,Dr. Christine Sullivan,12,22
232,Dr. Catherine Phillips,19,16
233,Dr. Lauren Cortez,17,32
234,Dr. Autumn Walters,14,20
235,Dr. Joseph Sims,18,12
236,Dr. Daniel Petersen,19,27
237,Dr. Stacey Huber,8,24
238,Dr. Diane Barnett,4,35
239,Dr. Amy Smith,14,11
240,Dr. Jordan Morris,19,9
241,Dr. Craig Shaw,15,24
242,Dr. Sara Hurley DDS,18,2
243,Dr. Allison Adams,3,2
244,Dr. Nancy Silva,18,35
245,Dr. Mark Stanley PhD,20,34
246,Dr. Angela Zavala,2,11
247,Dr. Jennifer Adams,9,16
248,Dr. Autumn Paul,8,23
249,Dr. David Decker,1,22
250,Dr. Kristin Fitzgerald,5,23
