DoctorID,DoctorName,DepartmentID,Experience
1,Dr. Carolyn Brown,2,32
2,Dr. Gabriel Martinez,8,2
3,Dr. Todd Martinez,14,23
4,Dr. Bradley Hill,8,6
5,Dr. Michael Boyer,1,15
6,Dr. Kathleen Cole,4,20
7,Dr. Nancy Meyers,9,23
8,Dr. Wayne Daugherty,12,16
9,Dr. Dustin Thomas,16,3
10,Dr. Melissa Sutton,14,7
11,Dr. Erin Weber,10,33
12,Dr. Rachel Gonzalez DDS,17,20
13,Dr. Cynthia Johnson,3,13
14,Dr. Erin Anderson,12,23
15,Dr. Thomas Everett,5,11
16,Dr. Joseph Garza,13,35
17,Dr. Charles Salas,6,17
18,Dr. Leslie Bailey,2,13
19,Dr. Ms. Nancy Ramirez,17,21
20,Dr. Jonathan Obrien,10,23
21,Dr. Savannah Morris,7,31
22,Dr. Heidi Thomas,5,3
23,Dr. Stephen Barnes,12,14
24,Dr. Melissa Grant,12,22
25,Dr. Erika Bond,6,33
26,Dr. Anthony Parks,11,13
27,Dr. Jennifer Baker,3,4
28,Dr. Jake Proctor,13,4
29,Dr. Colton Cook,17,15
30,Dr. Kelly Alexander,13,25
31,Dr. Antonio Ortiz,2,27
32,Dr. Tamara Kelly,15,15
33,Dr. Susan Sharp,8,6
34,Dr. Melanie Jackson,11,12
35,Dr. Stacey Robinson,6,13
36,Dr. Kenneth Rivera,14,2
37,Dr. Dillon Garcia,1,20
38,Dr. Kenneth Mccormick,4,30
39,Dr. Christy Ray,12,32
40,Dr. Lori Bray,19,27
41,Dr. Elizabeth Ewing,6,9
42,Dr. Dustin Tyler,13,25
43,Dr. Michelle Nguyen,5,8
44,Dr. Michael White,7,10
45,Dr. Stephanie Murphy,10,24
46,Dr. Alan Olson,4,29
47,Dr. Edward Vincent,20,14
48,Dr. Savannah Sanchez,12,12
49,Dr. Michael Williams,14,1
50,Dr. Pamela Cook,13,6
51,Dr. Kelly Herman,2,14
52,Dr. Kristi Munoz,15,16
53,Dr. Joshua Galvan,12,26
54,Dr. Andrew Hernandez,16,19
55,Dr. Jonathan Cordova,15,34
56,Dr. Robert Johnson,14,12
57,Dr. Regina Nelson,19,21
58,Dr. Mary Caldwell,4,4
59,Dr. Michelle Yang,12,17
60,Dr. Brooke Russell,10,33
61,Dr. Deborah Stewart,1,29
62,Dr. Katherine Key,2,34
63,Dr. Heather Miller,5,21
64,Dr. Lisa Moore,10,18
65,Dr. Veronica Day,18,18
66,Dr. Alexis Ho,12,21
67,Dr. Zachary Francis,8,25
68,Dr. Gabriel Zamora,14,12
69,Dr. Kara Mendez,1,11
70,Dr. Brandon Garcia,9,2
71,Dr. Gina Roach,10,34
72,Dr. Nicole Smith,1,35
73,Dr. Michael Collins,10,26
74,Dr. Joe Nelson,10,3
75,Dr. Kari Hart,20,34
76,Dr. Yolanda Vasquez,13,25
77,Dr. Heather Sullivan,20,29
78,Dr. Louis Knight,6,18
79,Dr. Michelle George,8,4
80,Dr. Brenda Abbott,3,31
81,Dr. Sarah Carrillo,1,13
82,Dr. James Barnes,19,25
83,Dr. Matthew Poole,14,2
84,Dr. Olivia Grimes,9,13
85,Dr. Maria Rodriguez,9,21
86,Dr. Steven Alvarado,19,22
87,Dr. Amanda Taylor,19,1
88,Dr. Nicole Johnson,6,22
89,Dr. Stacy Faulkner,15,6
90,Dr. Brian Cooper,2,12
91,Dr. Stefanie Chambers,8,19
92,Dr. Rebecca Gordon,1,28
93,Dr. Debra Obrien,8,32
94,Dr. Robert Watson,18,7
95,Dr. Mary Anderson,10,34
96,Dr. Danielle Martinez,9,17
97,Dr. Jesse Brown,18,23
98,Dr. Veronica Sanders,2,2
99,Dr. Raymond Camacho,20,28
100,Dr. Phillip Cook,10,23
101,Dr. Veronica Clark,9,22
102,Dr. Hunter Grant,11,1
103,Dr. Ryan Stevenson,11,30
104,Dr. Michelle Williams,16,3
105,Dr. Emily Sims,20,26
106,Dr. Lisa Evans,6,11
107,Dr. Kathy Arnold,2,9
108,Dr. Mr. Stephen Ramos MD,13,2
109,Dr. Eric Walker,10,30
110,Dr. Mary Morgan,4,20
111,Dr. Gabriel Tucker,8,13
112,Dr. Jordan Burke,16,8
113,Dr. Michele Chan,17,23
114,Dr. Luis White,9,3
115,Dr. Christina Buckley,9,25
116,Dr. Wendy Carrillo,15,29
117,Dr. Sarah Smith,17,7
118,Dr. Nicholas Garcia,18,4
119,Dr. Sherry Smith,7,17
120,Dr. Joe Anderson,19,35
121,Dr. Cheryl Robbins,6,9
122,Dr. Sabrina White,10,10
123,Dr. Meghan Walker,13,22
124,Dr. Morgan Tate,10,31
125,Dr. Michael Jimenez,7,6
126,Dr. Alan Smith,16,12
127,Dr. Roberto Cohen,5,18
128,Dr. James Arnold,19,32
129,Dr. Bruce James,18,10
130,Dr. Tina Riddle,12,16
131,Dr. Lori Stanley,7,5
132,Dr. Travis Smith,20,34
133,Dr. Kristin Nichols,13,1
134,Dr. Wendy Price,18,23
